day,server,guids,version,"capacity_gb","usage_gb",warnings,sourcetypes,forwarders,searches,"page_views",apps,users
"2024-07-09","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,32,0,15,56,4,2
"2024-07-10","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,35,0,24,55,3,2
"2024-07-11","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,33,0,3,0,0,0
"2024-07-12","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,32,0,2,8,2,1
"2024-07-13","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,33,0,2,0,0,0
"2024-07-14","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,32,0,1,0,0,0
"2024-07-15","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,33,0,2,0,0,0
"2024-07-16","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,32,0,2,0,0,0
"2024-07-17","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,33,0,18,13,2,1
"2024-07-18","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,33,0,23,45,3,1
,"splunk-aio.fontora.dev",,"9.2.1",,,0,29,0,8,9,3,1
"2024-07-22","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.00",0,32,0,1,0,0,0
"2024-07-23","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,31,0,4,0,0,0
"2024-07-24","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,31,0,5,0,0,0
"2024-07-25","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,31,0,8,16,3,1
"2024-07-26","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,31,0,2,0,0,0
"2024-07-27","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,31,0,4,0,0,0
"2024-07-28","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,31,0,2,0,0,0
,"splunk-aio.fontora.dev",,"9.2.1",,,0,0,0,0,0,0,0
,"splunk-aio.fontora.dev",,"9.2.1",,,0,33,0,6,6,3,1
"2024-08-02","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,33,0,5,0,0,0
"2024-08-03","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,32,0,3,0,0,0
"2024-08-04","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,32,0,1,0,0,0
"2024-08-05","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,33,0,1,6,2,1
,"splunk-aio.fontora.dev",,"9.2.1",,,0,29,0,0,2,1,1
"2024-08-13","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.00",0,28,0,2,0,0,0
"2024-08-14","splunk-aio.fontora.dev","[66BE4632-91FD-4A21-B760-075ADD49DCFD, F06A8BF7-4C8A-43F3-8D9E-412FB9127F4B]","9.2.1","50.00","0.03",0,26,0,0,0,0,0
